"id","home_team_points","away_team_points","year","week_number","away_team_id","home_team_id"
140,6,27,2002,10,"Seahawks","Cardinals"
141,17,13,2002,10,"Chiefs","49ers"
142,30,33,2002,10,"Patriots","Bears"
143,13,10,2002,10,"Dolphins","Jets"
144,10,34,2002,10,"Raiders","Broncos"
145,38,14,2002,11,"Cardinals","Eagles"
146,24,17,2002,11,"Saints","Falcons"
147,19,17,2002,11,"Redskins","Giants"
148,17,16,2002,11,"Bills","Chiefs"
149,20,27,2002,11,"Browns","Bengals"
150,31,21,2002,11,"Packers","Vikings"
151,21,24,2002,11,"Jaguars","Texans"
152,20,3,2002,11,"Cowboys","Colts"
153,31,23,2002,11,"Steelers","Titans"
154,20,17,2002,11,"49ers","Chargers"
155,23,10,2002,11,"Panthers","Buccaneers"
156,14,31,2002,11,"Jets","Lions"
157,9,31,2002,11,"Broncos","Seahawks"
158,26,7,2002,11,"Ravens","Dolphins"
159,27,20,2002,11,"Patriots","Raiders"
160,21,16,2002,11,"Bears","Rams"
161,0,41,2002,12,"Falcons","Panthers"
162,30,3,2002,12,"Chargers","Dolphins"
163,24,17,2002,12,"Vikings","Patriots"
164,21,19,2002,12,"Jaguars","Cowboys"
165,20,17,2002,12,"Rams","Redskins"
166,20,17,2002,12,"Lions","Bears"
167,15,24,2002,12,"Browns","Saints"
168,31,13,2002,12,"Bills","Jets"
169,13,12,2002,12,"Titans","Ravens"
170,29,21,2002,12,"Bengals","Steelers"
171,39,32,2002,12,"Chiefs","Seahawks"
172,20,41,2002,12,"Raiders","Cardinals"
173,21,7,2002,12,"Packers","Buccaneers"
174,16,14,2002,12,"Giants","Texans"
175,20,23,2002,12,"Colts","Broncos"
176,17,38,2002,12,"Eagles","49ers"
177,12,20,2002,13,"Patriots","Lions"
178,27,20,2002,13,"Redskins","Cowboys"
179,23,25,2002,13,"Steelers","Jaguars"
180,29,32,2002,13,"Titans","Giants"
181,23,27,2002,13,"Ravens","Bengals"
182,38,21,2002,13,"Dolphins","Bills"
183,6,13,2002,13,"Panthers","Browns"
184,49,0,2002,13,"Cardinals","Chiefs"
185,30,20,2002,13,"Bears","Packers"
186,24,30,2002,13,"Falcons","Vikings"
187,19,3,2002,13,"Texans","Colts"
188,30,27,2002,13,"Broncos","Chargers"
189,10,3,2002,13,"Rams","Eagles"
190,31,24,2002,13,"Seahawks","49ers"
191,23,20,2002,13,"Buccaneers","Saints"
192,26,20,2002,13,"Jets","Raiders"
193,34,10,2002,14,"Falcons","Buccaneers"
194,49,10,2002,14,"Rams","Chiefs"
195,27,31,2002,14,"49ers","Cowboys"
196,21,27,2002,14,"Giants","Redskins"
197,27,17,2002,14,"Colts","Titans"
198,6,24,2002,14,"Texans","Steelers"
199,20,21,2002,14,"Browns","Jaguars"
200,52,31,2002,14,"Bengals","Panthers"
201,27,17,2002,14,"Bills","Patriots"
202,20,27,2002,14,"Eagles","Seahawks"
203,25,37,2002,14,"Saints","Ravens"
204,23,20,2002,14,"Lions","Cardinals"
205,19,13,2002,14,"Broncos","Jets"
206,7,27,2002,14,"Raiders","Chargers"
207,26,22,2002,14,"Vikings","Packers"
208,27,9,2002,14,"Bears","Dolphins"
209,19,23,2002,15,"Ravens","Texans"
210,24,30,2002,15,"Seahawks","Falcons"
211,30,14,2002,15,"Panthers","Steelers"
212,20,23,2002,15,"Buccaneers","Lions"
213,23,28,2002,15,"Colts","Browns"
214,20,13,2002,15,"Jets","Bears"
215,15,29,2002,15,"Jaguars","Bengals"
216,20,13,2002,15,"Chargers","Bills"
217,31,32,2002,15,"Vikings","Saints"
218,23,17,2002,15,"Raiders","Dolphins"
